Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
L. Duval,27,60,75,,,,#1  - Dandelion Racing,70,0.8,Honda,30,Fair,
T. Izawa,25,20,60,,,1,#2  - Dandelion Racing,70,0.8,Honda,30,Fair,
T. Matsuda,30,20,65,,,Nissan,#3  - Kondo Racing,70,0.8,Toyota,35,Fair,Part-Time
K. Cozzolino,22,45,60,,,1,#7  - Team LeMans,70,0.8,Toyota,35,Fair,
H. Ishiura,28,50,70,,,Toyota,#8  - Team LeMans,70,0.8,Toyota,35,Fair,
K. Tsukakoshi,23,50,55,,,,#10 - HFDP Racing,70,0.8,Honda,30,Fair,
Y. Ide,35,25,55,,,1,#16 - Team Mugen,70,0.8,Honda,30,Fair,
K. Hiranaka,27,35,60,,,1,#18 - KC Motorgroup,70,0.8,Toyota,35,Fair,
J. P. de Oliveira,28,65,75,,,Nissan,#19 - Team Impul,70,0.8,Toyota,35,Fair,
K. Hirate,24,50,60,,,,#20 - Team Impul,70,0.8,Toyota,35,Fair,
T. Iguchi,22,20,55,,,,#29 - Cerumo-Inging,70,0.8,Toyota,35,Fair,
N. Yamamoto,21,45,70,,,Honda,#31 - Nakajima Racing,70,0.8,Honda,30,Fair,
T. Kogure,29,50,70,,,1,#32 - Nakajima Racing,70,0.8,Honda,30,Fair,
A. Lotterer,28,60,80,,,Audi,#36 - TOM'S,70,0.8,Toyota,35,Fair,
K. Oshima,23,50,65,,,1,#37 - TOM'S,70,0.8,Toyota,35,Fair,
